"№","Авторы","Название","Год","Название источника","Организации","Авторы организаций","Сведения о финансировании","Текст о финансировании 1","Текст о финансировании 2","ISSN","Тип документа","EID","Квартили","SJR","Тематики"
"513","Patrikeeva N.V., Babeshko V.N., Kamenev E.A., Podolskiy V.E.","A novel graph decomposition approach to the automatic processing of poorly formalized data: Innovative ideas - A management case study","2015","European Research Studies Journal","Department of Education, National University of Science and Technology MISiS, IBS, Russian Federation; Innovation and Technology Centre, Moscow Institute of Physics and Technology, Russian Federation; Bauman Moscow State Technical University, Russian Federation","Patrikeeva, N.V., Department of Education, National University of Science and Technology MISiS, IBS, Russian Federation; Babeshko, V.N., Department of Education, National University of Science and Technology MISiS, IBS, Russian Federation; Kamenev, E.A., Innovation and Technology Centre, Moscow Institute of Physics and Technology, Russian Federation; Podolskiy, V.E., Bauman Moscow State Technical University, Russian Federation","","","","11082976","Article","2-s2.0-84963865209","Q2","0.234","2000; 1400;"
"514","Bykov N.V., Nesterenko E.A.","Mathematical modeling and visualization of intrachamber processes in a ballistic setup with hydrodynamic effect","2015","Scientific Visualization","Bauman Moscow State Technical University, Russian Federation; Dorodnicyn Computing Centre, RAS, Russian Federation; Keldysh Institute of Applied Mathematics, RAS, Russian Federation","Bykov, N.V., Bauman Moscow State Technical University, Russian Federation, Dorodnicyn Computing Centre, RAS, Russian Federation; Nesterenko, E.A., Bauman Moscow State Technical University, Russian Federation, Keldysh Institute of Applied Mathematics, RAS, Russian Federation","","","","20793537","Article","2-s2.0-84927127773","Q3","0.211","1707; 1712;"
"515","Binder Ya.I., Gutnikov A.L., Paderina T.V., Konovalov S.F., Mayorov D.V., Rusanov P.G., Sidorov A.G., Chulkov V.E.","An acoustic azimuth correction system of an inclinometer","2015","22nd Saint Petersburg International Conference on Integrated Navigation Systems, ICINS 2015 - Proceedings","Electromekhanika JSC, St-Petersburg, Russian Federation; Concern CSRI Electropribor JSC, St-Petersburg, Russian Federation; FSEE Moscow State Technical University n.a. N.E. Bauman, Moscow, Russian Federation","Binder, Ya.I., Electromekhanika JSC, St-Petersburg, Russian Federation, Concern CSRI Electropribor JSC, St-Petersburg, Russian Federation; Gutnikov, A.L., Electromekhanika JSC, St-Petersburg, Russian Federation, Concern CSRI Electropribor JSC, St-Petersburg, Russian Federation; Paderina, T.V., Electromekhanika JSC, St-Petersburg, Russian Federation, Concern CSRI Electropribor JSC, St-Petersburg, Russian Federation; Konovalov, S.F., FSEE Moscow State Technical University n.a. N.E. Bauman, Moscow, Russian Federation; Mayorov, D.V., FSEE Moscow State Technical University n.a. N.E. Bauman, Moscow, Russian Federation; Rusanov, P.G., FSEE Moscow State Technical University n.a. N.E. Bauman, Moscow, Russian Federation; Sidorov, A.G., FSEE Moscow State Technical University n.a. N.E. Bauman, Moscow, Russian Federation; Chulkov, V.E., FSEE Moscow State Technical University n.a. N.E. Bauman, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84938838108","0","","2210; 2211; 3104; 2500; 1600;"
"516","Gorevoy A.V., Machikhin A.S.","Method to improve the accuracy of the geometrical parameters measurement in stereoscopic AOTF-based spectral imagers","2015","Journal of Physics: Conference Series","Bauman Moscow State Technical University, 5/1, 2nd Baumanskaya street, Moscow, Russian Federation; Scientific and Technological Center of Unique Instrumentation of Russian, Academy of Sciences, Butlerova street, 15, Moscow, Russian Federation","Gorevoy, A.V., Bauman Moscow State Technical University, 5/1, 2nd Baumanskaya street, Moscow, Russian Federation; Machikhin, A.S., Scientific and Technological Center of Unique Instrumentation of Russian, Academy of Sciences, Butlerova street, 15, Moscow, Russian Federation","","","","17426588","Conference Paper","2-s2.0-84961290988","Q3","0.241","3100;"
"517","Kaplunov S.M., Val’Es N.G., Samolysov A.V., Marchevskaya O.A.","Determining the tube bundle streamlining critical parameters using the numerical experiment method","2015","Thermal Engineering (English translation of Teploenergetika)","Blagonravov Institute of Engineering Science, Russian Academy of Sciences, Malyi Khariton’evskii per. 4, Moscow, Russian Federation; Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, str. 1, Moscow, Russian Federation","Kaplunov, S.M., Blagonravov Institute of Engineering Science, Russian Academy of Sciences, Malyi Khariton’evskii per. 4, Moscow, Russian Federation; Val’Es, N.G., Blagonravov Institute of Engineering Science, Russian Academy of Sciences, Malyi Khariton’evskii per. 4, Moscow, Russian Federation; Samolysov, A.V., Blagonravov Institute of Engineering Science, Russian Academy of Sciences, Malyi Khariton’evskii per. 4, Moscow, Russian Federation; Marchevskaya, O.A., Bauman Moscow State Technical University, Vtoraya Baumanskaya ul. 5, str. 1, Moscow, Russian Federation","","","","406015","Article","2-s2.0-84942317658","Q2","0.339","2102; 2104;"
"518","Batanov G.M., Borzosekov V.D., Vasilkov D.G., Vaphin I.Yu., Grebenshchikov S.E., Konchekov E.M., Letunov A.A., Meshcheryakov A.I., Sarksyan K.A., Tereshchenko M.A., Kharchev N.K., Kholnov Yu.V.","Transport transition in L-2M stellarator plasmas: A role of the short-wavelength turbulence","2015","Applied Physics","Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation; Bauman Moscow State Technical University, Bld 1,5 2-nd Bauman str., Moscow, Russian Federation; N. I. Pirogov Russian National Research Medical University, 1 Ostrovutyanov str., Moscow, Russian Federation","Batanov, G.M., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation; Borzosekov, V.D., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation; Vasilkov, D.G., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation, Bauman Moscow State Technical University, Bld 1,5 2-nd Bauman str., Moscow, Russian Federation; Vaphin, I.Yu., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation; Grebenshchikov, S.E., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation; Konchekov, E.M., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation, N. I. Pirogov Russian National Research Medical University, 1 Ostrovutyanov str., Moscow, Russian Federation; Letunov, A.A., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation; Meshcheryakov, A.I., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation; Sarksyan, K.A., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation; Tereshchenko, M.A., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation; Kharchev, N.K., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation; Kholnov, Yu.V., Prokhorov General Physics Institute, RAS, 38 Vavilov str., Moscow, Russian Federation","","","","19960948","Article","2-s2.0-84961141450","Q4","0.108","3100;"
"519","Kuzenov V.V., Frolko P.A.","Approximate model of the coaxial pulsed plasma thruster","2015","2015 5th International Workshop on Computer Science and Engineering: Information Processing and Control Engineering, WCSE 2015-IPCE","Department of Thermal Physics, Bauman Moscow State Technical University, Moscow, Russian Federation; A.Yu. Ishlinsky Institute for Problems in Mechanics RAS, Moscow, Russian Federation; N.L. Dukhov All-Russia Research Institute of Automatics, Moscow, Russian Federation","Kuzenov, V.V., Department of Thermal Physics, Bauman Moscow State Technical University, Moscow, Russian Federation, A.Yu. Ishlinsky Institute for Problems in Mechanics RAS, Moscow, Russian Federation, N.L. Dukhov All-Russia Research Institute of Automatics, Moscow, Russian Federation; Frolko, P.A., Department of Thermal Physics, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84939496015","0","","2210; 2211; 3104; 2500; 1600;"
"520","Shargatov V.A., Il'Ichev A.T., Tsypkin G.G.","Dynamics and stability of moving fronts of water evaporation in a porous medium","2015","International Journal of Heat and Mass Transfer","National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), Kashirskoye shosse 31, Moscow, Russian Federation; Steklov Mathematical Institute, Russian Ac. Sci., Gubkina Str. 8, Moscow, Russian Federation; Bauman Moscow Technical University, Baumanskaya str. 5, Moscow, Russian Federation; Institute for Problems in Mechanics, Russian Ac. Sci., Vernadskogo pr.; 101, Moscow, Russian Federation","Shargatov, V.A., National Research Nuclear University MEPhI (Moscow Engineering Physics Institute), Kashirskoye shosse 31, Moscow, Russian Federation; Il'Ichev, A.T., Steklov Mathematical Institute, Russian Ac. Sci., Gubkina Str. 8, Moscow, Russian Federation, Bauman Moscow Technical University, Baumanskaya str. 5, Moscow, Russian Federation; Tsypkin, G.G., Institute for Problems in Mechanics, Russian Ac. Sci., Vernadskogo pr.; 101, Moscow, Russian Federation","14–01-00466, RFBR, Russian Foundation for Basic Research","This work was carried out under financial support by Russian Foundation of Basic Research, projects No 14–01-00466 and 13–01-12047.","","179310","Article","2-s2.0-84920647078","Q1","1.498","1507; 2210; 3104;"
"521","Grigoryants A.G., Shiganov I.N., Misyurov A.I., Mikhailov V.S., Kolomeyets N.P.","Technology of low-frequency vibrational treatment of welded structures in engineering","2015","Welding International","N.E. Bauman Moscow State Technical University, Russian Federation; TsTSS Company, Russian Federation; Ul'trazvukovoe Oborudovanie Company, Russian Federation","Grigoryants, A.G., N.E. Bauman Moscow State Technical University, Russian Federation; Shiganov, I.N., N.E. Bauman Moscow State Technical University, Russian Federation; Misyurov, A.I., N.E. Bauman Moscow State Technical University, Russian Federation; Mikhailov, V.S., TsTSS Company, Russian Federation; Kolomeyets, N.P., Ul'trazvukovoe Oborudovanie Company, Russian Federation","","","","9507116","Article","2-s2.0-84909961041","Q3","0.199","2506; 2210; 2211;"
"522","Chernyatin A.S., Matvienko Y.G., Razumovsky I.A.","A computational tool for estimating stress fields along a surface crack front","2015","Fatigue and Fracture of Engineering Materials and Structures","Mechanical Engineering Research Institute, Russian Academy of Sciences, 4 Kharitonievsky Per., Moscow, Russian Federation; Bauman Moscow State Technical University, ul. Baumanskay 2-ya, 5, Moscow, Russian Federation","Chernyatin, A.S., Mechanical Engineering Research Institute, Russian Academy of Sciences, 4 Kharitonievsky Per., Moscow, Russian Federation, Bauman Moscow State Technical University, ul. Baumanskay 2-ya, 5, Moscow, Russian Federation; Matvienko, Y.G., Mechanical Engineering Research Institute, Russian Academy of Sciences, 4 Kharitonievsky Per., Moscow, Russian Federation; Razumovsky, I.A., Mechanical Engineering Research Institute, Russian Academy of Sciences, 4 Kharitonievsky Per., Moscow, Russian Federation","","","","8756758X","Conference Paper","2-s2.0-84921434167","Q1","1.115","2210; 2211; 2500;"
"523","Baranov A.A., Grishko D.A.","Ballistic scheme selection for maneuvering inside a constellation with continuously changing configuration","2015","Proceedings of the International Astronautical Congress, IAC","Keldysh Institute of Applied Mathematics, Russian Academy of Science, Russian Federation; Bautnan Moscow State Technical University, Russian Federation","Baranov, A.A., Keldysh Institute of Applied Mathematics, Russian Academy of Science, Russian Federation, Bautnan Moscow State Technical University, Russian Federation; Grishko, D.A., Bautnan Moscow State Technical University, Russian Federation","","","","741795","Conference Paper","2-s2.0-84991688467","0","0.116","0"
"524","Kondratenko K., Gouskov A., Guskov M., Lorong P., Panovko G.","Analysis of indirect measurement of cutting forces turning metal cylindrical shells","2015","Mechanisms and Machine Science","Department RC5, Bauman Moscow State Technical University, Moscow, Russian Federation; National Research Centre ‘Kurtchatovsky Institute’, Moscow, Russian Federation; ENSAM-ParisTech, Paris, France; IMASH RSA, Moscow, Russian Federation","Kondratenko, K., Department RC5, Bauman Moscow State Technical University, Moscow, Russian Federation; Gouskov, A., Department RC5, Bauman Moscow State Technical University, Moscow, Russian Federation, National Research Centre ‘Kurtchatovsky Institute’, Moscow, Russian Federation; Guskov, M., ENSAM-ParisTech, Paris, France; Lorong, P., ENSAM-ParisTech, Paris, France; Panovko, G., IMASH RSA, Moscow, Russian Federation","","","","22110984","Conference Paper","2-s2.0-84927623789","0","0.186","0"
"525","Karpenko A., Kharlamov V., Sobenin I.","AORTA software system for evaluating individual predisposition to atherosclerosis on the basis of genetic and phenotypic markers","2015","Bio-Algorithms and Med-Systems","Computer-Aided Design, Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation; MSTU n.a. Bauman, Moscow, Russian Federation; Russian Cardiology Research and Production Complex, 3-ya Cherepkovskaya 15-a, Moscow, Russian Federation; Institute of General Pathology and Patophysiology, Baltiyskaya ul. 5, Moscow, Russian Federation","Karpenko, A., Computer-Aided Design, Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation; Kharlamov, V., MSTU n.a. Bauman, Moscow, Russian Federation; Sobenin, I., Russian Cardiology Research and Production Complex, 3-ya Cherepkovskaya 15-a, Moscow, Russian Federation, Institute of General Pathology and Patophysiology, Baltiyskaya ul. 5, Moscow, Russian Federation","","","","18959091","Article","2-s2.0-85040696710","Q3","0.16","2718; 1301; 2701; 1700;"
"526","Sazonkin S.G., Krylov A.A., Dvoretskiy D.A., Leonov S.O., Lazarev V.A., Pnev A.B., Karasik V.E., Grebenyukov V.V., Pozharov A.S., Obraztsova E.D.","Stable similariton generation in hybrid mode-locked erbium-doped allfiber ring laser for application in optical frequency standard","2015","Proceedings of SPIE - The International Society for Optical Engineering","Fiber Optics Research Center of the RAS, Vavilova str. 38, Moscow, Russian Federation; Bauman Moscow State Technical University, 2nd Baumanskaya str. 5-1, Moscow, Russian Federation; General Physics Institute of the RAS, Vavilova str. 38, Moscow, Russian Federation","Sazonkin, S.G., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5-1, Moscow, Russian Federation; Krylov, A.A., Fiber Optics Research Center of the RAS, Vavilova str. 38, Moscow, Russian Federation; Dvoretskiy, D.A., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5-1, Moscow, Russian Federation; Leonov, S.O., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5-1, Moscow, Russian Federation; Lazarev, V.A., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5-1, Moscow, Russian Federation; Pnev, A.B., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5-1, Moscow, Russian Federation; Karasik, V.E., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5-1, Moscow, Russian Federation; Grebenyukov, V.V., General Physics Institute of the RAS, Vavilova str. 38, Moscow, Russian Federation; Pozharov, A.S., General Physics Institute of the RAS, Vavilova str. 38, Moscow, Russian Federation; Obraztsova, E.D., General Physics Institute of the RAS, Vavilova str. 38, Moscow, Russian Federation","","","","0277786X","Conference Paper","2-s2.0-84923063829","0","0.234","0"
"527","Chernega V.N., Man’ko O.V., Man’ko V.I.","Minkowski-Type Inequality for Arbitrary Density Matrices of Composite and Noncomposite Systems","2015","Journal of Russian Laser Research","Lebedev Physical Institute, Russian Academy of Sciences, Leninskii Prospect 53, Moscow, Russian Federation; Bauman Moscow State Technical University, The 2nd Baumanskaya Str. 5, Moscow, Russian Federation; Moscow Institute of Physics and Technology (State University), Institutskii per. 9, Moscow Region, Dolgoprudnyi, Russian Federation","Chernega, V.N., Lebedev Physical Institute, Russian Academy of Sciences, Leninskii Prospect 53, Moscow, Russian Federation; Man’ko, O.V., Lebedev Physical Institute, Russian Academy of Sciences, Leninskii Prospect 53, Moscow, Russian Federation, Bauman Moscow State Technical University, The 2nd Baumanskaya Str. 5, Moscow, Russian Federation; Man’ko, V.I., Lebedev Physical Institute, Russian Academy of Sciences, Leninskii Prospect 53, Moscow, Russian Federation, Moscow Institute of Physics and Technology (State University), Institutskii per. 9, Moscow Region, Dolgoprudnyi, Russian Federation","","","","10712836","Article","2-s2.0-84956951213","Q2","0.248","2201; 3107;"
"528","Ivashov S., Razevig V., Vasiliev I., Bechtel T., Capineri L.","Holographic subsurface radar for diagnostics of cryogenic fuel tank thermal insulation of space vehicles","2015","NDT and E International","Bauman Moscow State Technical University, 2nd Baumanskaya st., 5, Moscow, Russian Federation; Franklin and Marshall College, Lancaster, PA, United States; University of Florence, Via Santa Marta, 3, Florence, Italy","Ivashov, S., Bauman Moscow State Technical University, 2nd Baumanskaya st., 5, Moscow, Russian Federation; Razevig, V., Bauman Moscow State Technical University, 2nd Baumanskaya st., 5, Moscow, Russian Federation; Vasiliev, I., Bauman Moscow State Technical University, 2nd Baumanskaya st., 5, Moscow, Russian Federation; Bechtel, T., Franklin and Marshall College, Lancaster, PA, United States; Capineri, L., University of Florence, Via Santa Marta, 3, Florence, Italy","12-07-00557, RFBR, Russian Foundation for Basic Research; 7.340.2011, Minobrnauka, Ministry of Education and Science of the Russian Federation","Support for this work was provided by Ministry of Education and Science of the Russian Federation (grant #7.340.2011 ) and Russian Foundation for Basic Research (grant #12-07-00557 ).","","9638695","Article","2-s2.0-84911868639","Q1","1.205","2210; 3104; 2500;"
"529","Bondarenko V., Bondarenko A., Poddubna M., Symonenko I., Arkharov I.","Optimization of adsorbers used in purification technologies of rare gases","2015","Refrigeration Science and Technology","Moscow State Technical University N. A. N.E. Bauman, 5, 2-aya Baumanskaya St., Moscow, Russian Federation; Institute of Refrigeration, Cryotechnology and Ecoenergetics. N.A. V.S. Martynovsky, 1/3, Dvorianskaya St., Odessa, Ukraine; Iceblick-Engineering, 29, Pastera St., Odessa, Ukraine","Bondarenko, V., Moscow State Technical University N. A. N.E. Bauman, 5, 2-aya Baumanskaya St., Moscow, Russian Federation; Bondarenko, A., Institute of Refrigeration, Cryotechnology and Ecoenergetics. N.A. V.S. Martynovsky, 1/3, Dvorianskaya St., Odessa, Ukraine; Poddubna, M., Institute of Refrigeration, Cryotechnology and Ecoenergetics. N.A. V.S. Martynovsky, 1/3, Dvorianskaya St., Odessa, Ukraine; Symonenko, I., Iceblick-Engineering, 29, Pastera St., Odessa, Ukraine; Arkharov, I., Moscow State Technical University N. A. N.E. Bauman, 5, 2-aya Baumanskaya St., Moscow, Russian Federation","","","","1511637","Conference Paper","2-s2.0-85016739367","0","0.107","0"
"530","Bozhenkova R.K., Bozhenkova N.A., Mirzaeva T.E.","Mechanisms of linguacultural modeling of new possible meaning","2015","Journal of Language and Literature","Philological Sciences, Russian Language Chr., Bauman Moscow State Technical University, Russian Federation; Philological Sciences, Philological Faculty, Pushkin State Russian Language Institute, Russian Federation; Theoretical and Applied Linguistics Chr., Southwest State University (Russia), Russian Federation","Bozhenkova, R.K., Philological Sciences, Russian Language Chr., Bauman Moscow State Technical University, Russian Federation; Bozhenkova, N.A., Philological Sciences, Philological Faculty, Pushkin State Russian Language Institute, Russian Federation; Mirzaeva, T.E., Theoretical and Applied Linguistics Chr., Southwest State University (Russia), Russian Federation","","","","20780303","Article","2-s2.0-84981216439","Q2","0.109","1208; 3310; 1203;"
"531","Kutyrkina V.A., Chaley M.B.","Structural-statistical properties of DNA coding regions","2015","Mathematical Biology and Bioinformatics","Moscow State Technical University n.a. N.E. Bauman, Moscow, Russian Federation; Institute of Mathematical Problems of Biology, Russian Academy of Sciences, Pushchino, Russian Federation","Kutyrkina, V.A., Moscow State Technical University n.a. N.E. Bauman, Moscow, Russian Federation; Chaley, M.B., Institute of Mathematical Problems of Biology, Russian Academy of Sciences, Pushchino, Russian Federation","","","","19946538","Article","2-s2.0-85010840181","Q4","0.136","2604; 2204;"
"532","Zayarnyi D.A., Ionin A.A., Kudryashov S.I., Makarov S.V., Rudenko A.A., Drozdova E.A., Odinokov S.B.","Specific features of single-pulse femtosecond laser micron and submicron ablation of a thin silver film coated with a micron-thick photoresist layer","2015","Quantum Electronics","P.N. Lebedev Physics Institute, Russian Academy of Sciences, Leninsky prosp. 53, Moscow, Russian Federation; National Research Nuclear University 'MEPhI', Kashirskoe sh. 31, Moscow, Russian Federation; ITMO University, Kronverkskii prosp. 49, St. Petersburg, Russian Federation; N.E. Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation","Zayarnyi, D.A., P.N. Lebedev Physics Institute, Russian Academy of Sciences, Leninsky prosp. 53, Moscow, Russian Federation; Ionin, A.A., P.N. Lebedev Physics Institute, Russian Academy of Sciences, Leninsky prosp. 53, Moscow, Russian Federation; Kudryashov, S.I., National Research Nuclear University 'MEPhI', Kashirskoe sh. 31, Moscow, Russian Federation; Makarov, S.V., ITMO University, Kronverkskii prosp. 49, St. Petersburg, Russian Federation; Rudenko, A.A., P.N. Lebedev Physics Institute, Russian Academy of Sciences, Leninsky prosp. 53, Moscow, Russian Federation; Drozdova, E.A., N.E. Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation; Odinokov, S.B., N.E. Bauman Moscow State Technical University, 2-ya Baumanskaya ul. 5, Moscow, Russian Federation","","","","10637818","Article","2-s2.0-84930064628","Q2","0.501","2208; 3107; 3109; 2504;"
"533","Lychev S.A., Polyanin A.D., Levitin A.L.","Decomposition of systems of equations for continuum mechanics 1. Elasticity, thermoelasticity, poroelasticity","2015","PNRPU Mechanics Bulletin","Institute for Problems in Mechanics, Russian Academy of Sciences, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation; National Research Nuclear University MEPhI, Moscow Engineering Physics Institute, Moscow, Russian Federation; Moscow State University of Civil Engineering, Moscow, Russian Federation","Lychev, S.A., Institute for Problems in Mechanics, Russian Academy of Sciences, Moscow, Russian Federation, Bauman Moscow State Technical University, Moscow, Russian Federation, National Research Nuclear University MEPhI, Moscow Engineering Physics Institute, Moscow, Russian Federation, Moscow State University of Civil Engineering, Moscow, Russian Federation; Polyanin, A.D., Institute for Problems in Mechanics, Russian Academy of Sciences, Moscow, Russian Federation, Bauman Moscow State Technical University, Moscow, Russian Federation, National Research Nuclear University MEPhI, Moscow Engineering Physics Institute, Moscow, Russian Federation; Levitin, A.L., Institute for Problems in Mechanics, Russian Academy of Sciences, Moscow, Russian Federation","","","","22249893","Article","2-s2.0-84950295628","Q3","0.314","2211; 2501; 2206;"
"534","Lazarev V.A., Alexander K., Dmitriy D., Stanislav S., Alexey P., Stanislav L., Dmitriy S., Valeriy K., Alexey K., Gubin M.A.","Comb characterization of erbium all-fiber hybrid modelocked ultra-short pulse ring laser for frequency metrology","2015","Proceedings of Frontiers in Optics 2015, FIO 2015","Bauman Moscow State Technical University, Moscow, Russian Federation; Fiber Optics Research Center, Russian Academy of Sciences, Moscow, Russian Federation; P. N. Lebedev Physical Institute, Russian Academy of Sciences, Moscow, Russian Federation; National Research Nuclear University MEPhI, Moscow, Russian Federation","Lazarev, V.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Alexander, K., Fiber Optics Research Center, Russian Academy of Sciences, Moscow, Russian Federation; Dmitriy, D., Bauman Moscow State Technical University, Moscow, Russian Federation; Stanislav, S., Bauman Moscow State Technical University, Moscow, Russian Federation; Alexey, P., Bauman Moscow State Technical University, Moscow, Russian Federation; Stanislav, L., Bauman Moscow State Technical University, Moscow, Russian Federation; Dmitriy, S., Bauman Moscow State Technical University, Moscow, Russian Federation; Valeriy, K., Bauman Moscow State Technical University, Moscow, Russian Federation; Alexey, K., P. N. Lebedev Physical Institute, Russian Academy of Sciences, Moscow, Russian Federation; Gubin, M.A., P. N. Lebedev Physical Institute, Russian Academy of Sciences, Moscow, Russian Federation, National Research Nuclear University MEPhI, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84964893066","0","","2210; 2211; 3104; 2500; 1600;"
"535","Tarabrin M.K., Kovtun A.A., Lazarev V.A., Karasik V.E., Kireev A.N., Kozlovsky V.I., Korostelin Y.V., Podmarkov Y.P., Frolov M.P., Gubin M.A.","Tunable CW solid-state mid-IR Cr2+:CdSe single crystal laser with diode laser array pumping","2015","Advanced Solid State Lasers, ASSL 2015","Bauman Moscow State Technical University, Moscow, Russian Federation; P. N. Lebedev Physical Institute of the Russian Academy of Sciences, Moscow, Russian Federation; National Research Nuclear University MEPhI, Moscow, Russian Federation; Moscow Institute of Physics and Technology, Moscow, Russian Federation","Tarabrin, M.K., Bauman Moscow State Technical University, Moscow, Russian Federation, P. N. Lebedev Physical Institute of the Russian Academy of Sciences, Moscow, Russian Federation; Kovtun, A.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Lazarev, V.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Karasik, V.E., Bauman Moscow State Technical University, Moscow, Russian Federation; Kireev, A.N., P. N. Lebedev Physical Institute of the Russian Academy of Sciences, Moscow, Russian Federation; Kozlovsky, V.I., P. N. Lebedev Physical Institute of the Russian Academy of Sciences, Moscow, Russian Federation; Korostelin, Y.V., P. N. Lebedev Physical Institute of the Russian Academy of Sciences, Moscow, Russian Federation; Podmarkov, Y.P., P. N. Lebedev Physical Institute of the Russian Academy of Sciences, Moscow, Russian Federation, Moscow Institute of Physics and Technology, Moscow, Russian Federation; Frolov, M.P., P. N. Lebedev Physical Institute of the Russian Academy of Sciences, Moscow, Russian Federation, Moscow Institute of Physics and Technology, Moscow, Russian Federation; Gubin, M.A., P. N. Lebedev Physical Institute of the Russian Academy of Sciences, Moscow, Russian Federation, National Research Nuclear University MEPhI, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84947586473","0","","2210; 2211; 3104; 2500; 1600;"
"536","Polyanin A.D., Zhurov A.I.","The generating equations method: Constructing exact solutions to delay reaction-diffusion systems and other non-linear coupled delay PDEs","2015","International Journal of Non-Linear Mechanics","Institute for Problems in Mechanics, Russian Academy of Sciences, 101 Vernadsky Avenue, Moscow, Russian Federation; Bauman Moscow State Technical University, 5 Second Baumanskaya Street, Moscow, Russian Federation; National Research Nuclear University MEPhI, 31 Kashirskoe Shosse, Moscow, Russian Federation; Cardiff University, Heath Park, Cardiff, United Kingdom","Polyanin, A.D., Institute for Problems in Mechanics, Russian Academy of Sciences, 101 Vernadsky Avenue, Moscow, Russian Federation, Bauman Moscow State Technical University, 5 Second Baumanskaya Street, Moscow, Russian Federation, National Research Nuclear University MEPhI, 31 Kashirskoe Shosse, Moscow, Russian Federation; Zhurov, A.I., Institute for Problems in Mechanics, Russian Academy of Sciences, 101 Vernadsky Avenue, Moscow, Russian Federation, Cardiff University, Heath Park, Cardiff, United Kingdom","","","","207462","Article","2-s2.0-84924124990","Q1","1.032","2604; 2210; 2211;"
